INFO:root:Epoch 55, Train Loss: 0.09321, Accuracy: 0.9519, Purity: 0.8907, Efficiency: 0.9211
INFO:root:Epoch 56, Train Loss: 0.09241, Accuracy: 0.9547, Purity: 0.9052, Efficiency: 0.9151
INFO:root:Epoch 57, Train Loss: 0.09169, Accuracy: 0.9538, Purity: 0.9076, Efficiency: 0.9081
INFO:root:Epoch 58, Train Loss: 0.09045, Accuracy: 0.9549, Purity: 0.9069, Efficiency: 0.9137
INFO:root:Epoch 59, Train Loss: 0.09041, Accuracy: 0.9547, Purity: 0.8994, Efficiency: 0.9227
INFO:root:Epoch 60, Train Loss: 0.08843, Accuracy: 0.9554, Purity: 0.9054, Efficiency: 0.9179
INFO:root:Epoch 61, Train Loss: 0.08758, Accuracy: 0.9580, Purity: 0.9305, Efficiency: 0.8995
INFO:root:Epoch 62, Train Loss: 0.08653, Accuracy: 0.9549, Purity: 0.9024, Efficiency: 0.9196
INFO:root:Epoch 63, Train Loss: 0.08589, Accuracy: 0.9571, Purity: 0.9280, Efficiency: 0.8986
INFO:root:Epoch 64, Train Loss: 0.08567, Accuracy: 0.9541, Purity: 0.9094, Efficiency: 0.9073
INFO:root:Epoch 65, Train Loss: 0.08500, Accuracy: 0.9556, Purity: 0.9032, Efficiency: 0.9219
INFO:root:Epoch 66, Train Loss: 0.08479, Accuracy: 0.9540, Purity: 0.9022, Efficiency: 0.9161
INFO:root:Epoch 67, Train Loss: 0.08444, Accuracy: 0.9551, Purity: 0.8976, Efficiency: 0.9267
INFO:root:Epoch 68, Train Loss: 0.08362, Accuracy: 0.9558, Purity: 0.9062, Efficiency: 0.9190
INFO:root:Epoch 69, Train Loss: 0.08350, Accuracy: 0.9588, Purity: 0.9279, Efficiency: 0.9059
INFO:root:Epoch 70, Train Loss: 0.08273, Accuracy: 0.9580, Purity: 0.9212, Efficiency: 0.9103
INFO:root:Epoch 71, Train Loss: 0.08214, Accuracy: 0.9569, Purity: 0.9153, Efficiency: 0.9124
INFO:root:Epoch 72, Train Loss: 0.08218, Accuracy: 0.9583, Purity: 0.9187, Efficiency: 0.9146
INFO:root:Epoch 73, Train Loss: 0.08141, Accuracy: 0.9573, Purity: 0.9175, Efficiency: 0.9118
INFO:root:Epoch 74, Train Loss: 0.08082, Accuracy: 0.9590, Purity: 0.9168, Efficiency: 0.9200
INFO:root:Epoch 75, Train Loss: 0.08051, Accuracy: 0.9579, Purity: 0.9141, Efficiency: 0.9185
INFO:root:Epoch 76, Train Loss: 0.08028, Accuracy: 0.9591, Purity: 0.9208, Efficiency: 0.9158
INFO:root:Epoch 77, Train Loss: 0.08003, Accuracy: 0.9561, Purity: 0.9045, Efficiency: 0.9223
INFO:root:Epoch 78, Train Loss: 0.07949, Accuracy: 0.9581, Purity: 0.9134, Efficiency: 0.9201
INFO:root:Epoch 79, Train Loss: 0.07911, Accuracy: 0.9593, Purity: 0.9216, Efficiency: 0.9155
INFO:root:Epoch 80, Train Loss: 0.07927, Accuracy: 0.9598, Purity: 0.9255, Efficiency: 0.9133
INFO:root:Epoch 81, Train Loss: 0.07889, Accuracy: 0.9590, Purity: 0.9143, Efficiency: 0.9230
INFO:root:Epoch 82, Train Loss: 0.07821, Accuracy: 0.9600, Purity: 0.9216, Efficiency: 0.9188
INFO:root:Epoch 83, Train Loss: 0.07754, Accuracy: 0.9602, Purity: 0.9224, Efficiency: 0.9188
INFO:root:Epoch 84, Train Loss: 0.07753, Accuracy: 0.9598, Purity: 0.9212, Efficiency: 0.9182
INFO:root:Epoch 85, Train Loss: 0.07755, Accuracy: 0.9595, Purity: 0.9305, Efficiency: 0.9063
INFO:root:Epoch 86, Train Loss: 0.07731, Accuracy: 0.9594, Purity: 0.9212, Efficiency: 0.9165
INFO:root:Epoch 87, Train Loss: 0.07702, Accuracy: 0.9565, Purity: 0.9041, Efficiency: 0.9244
INFO:root:Epoch 88, Train Loss: 0.07692, Accuracy: 0.9593, Purity: 0.9171, Efficiency: 0.9208
INFO:root:Epoch 89, Train Loss: 0.07656, Accuracy: 0.9605, Purity: 0.9282, Efficiency: 0.9133
INFO:root:Epoch 90, Train Loss: 0.07663, Accuracy: 0.9574, Purity: 0.9081, Efficiency: 0.9237
INFO:root:Epoch 91, Train Loss: 0.07667, Accuracy: 0.9608, Purity: 0.9277, Efficiency: 0.9151
INFO:root:Epoch 92, Train Loss: 0.07607, Accuracy: 0.9603, Purity: 0.9278, Efficiency: 0.9129
INFO:root:Epoch 93, Train Loss: 0.07582, Accuracy: 0.9603, Purity: 0.9216, Efficiency: 0.9197
INFO:root:Epoch 94, Train Loss: 0.07608, Accuracy: 0.9582, Purity: 0.9329, Efficiency: 0.8978
INFO:root:Epoch 95, Train Loss: 0.07576, Accuracy: 0.9611, Purity: 0.9260, Efficiency: 0.9183
INFO:root:Epoch 96, Train Loss: 0.07550, Accuracy: 0.9595, Purity: 0.9169, Efficiency: 0.9221
INFO:root:Epoch 97, Train Loss: 0.07554, Accuracy: 0.9606, Purity: 0.9291, Efficiency: 0.9125
INFO:root:Epoch 98, Train Loss: 0.07514, Accuracy: 0.9589, Purity: 0.9127, Efficiency: 0.9247
INFO:root:Epoch 99, Train Loss: 0.07522, Accuracy: 0.9610, Purity: 0.9290, Efficiency: 0.9142
INFO:root:Epoch 100, Train Loss: 0.07506, Accuracy: 0.9600, Purity: 0.9164, Efficiency: 0.9251
INFO:root:Epoch 101, Train Loss: 0.07471, Accuracy: 0.9597, Purity: 0.9328, Efficiency: 0.9046
INFO:root:Epoch 102, Train Loss: 0.07424, Accuracy: 0.9588, Purity: 0.9121, Efficiency: 0.9246
INFO:root:Epoch 103, Train Loss: 0.07458, Accuracy: 0.9605, Purity: 0.9277, Efficiency: 0.9136
INFO:root:Epoch 104, Train Loss: 0.07419, Accuracy: 0.9609, Purity: 0.9232, Efficiency: 0.9208
INFO:root:Epoch 105, Train Loss: 0.07395, Accuracy: 0.9603, Purity: 0.9199, Efficiency: 0.9217
INFO:root:Epoch 106, Train Loss: 0.07418, Accuracy: 0.9595, Purity: 0.9125, Efficiency: 0.9272
